A00,Cholera  ,,1
A01,Typhoid and paratyphoid fevers  ,,1
A02,Other salmonella infections  ,,1
A03,Shigellosis  ,,1
A04,Other bacterial intestinal infections  ,,1
A05,"Other bacterial foodborne intoxications, not elsewhere classified  ",,1
A06,Amoebiasis  ,,1
A07,Other protozoal intestinal diseases  ,,1
A08,Viral and other specified intestinal infections  ,,1
A09,Other gastroenteritis and colitis of infectious and unspecified origin  ,,1
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed  ",,1
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically  ",,1
A17,Tuberculosis of nervous system  ,,1
A18,Tuberculosis of other organs  ,,1
A19,Miliary tuberculosis  ,,1
A20,Plague  ,,1
A21,Tularaemia  ,,1
A22,Anthrax  ,,1
A23,Brucellosis  ,,1
A24,Glanders and melioidosis  ,,1
A25,Rat-bite fevers  ,,1
A26,Erysipeloid  ,,1
A27,Leptospirosis  ,,1
A28,"Other zoonotic bacterial diseases, not elsewhere classified  ",,1
A30,Leprosy [Hansen disease]  ,,1
A31,Infection due to other mycobacteria  ,,1
A32,Listeriosis  ,,1
A33,Tetanus neonatorum  ,,1
A34,Obstetrical tetanus  ,,1
A35,Other tetanus  ,,1
A36,Diphtheria  ,,1
A37,Whooping cough  ,,1
A38,Scarlet fever  ,,1
A39,Meningococcal infection  ,,1
A40,Streptococcal sepsis  ,,1
A41,Other sepsis  ,,1
A42,Actinomycosis  ,,1
A43,Nocardiosis  ,,1
A44,Bartonellosis  ,,1
A46,Erysipelas  ,,1
A48,"Other bacterial diseases, not elsewhere classified  ",,1
A49,Bacterial infection of unspecified site  ,,1
A50,Congenital syphilis  ,,1
A51,Early syphilis  ,,1
A52,Late syphilis  ,,1
A53,Other and unspecified syphilis  ,,1
A54,Gonococcal infection  ,,1
A55,Chlamydial lymphogranuloma (venereum)  ,,1
A56,Other sexually transmitted chlamydial diseases  ,,1
A57,Chancroid  ,,1
A58,Granuloma inguinale  ,,1
A59,Trichomoniasis  ,,1
A60,Anogenital herpesviral [herpes simplex] infection  ,,1
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified  ",,1
A64,Unspecified sexually transmitted disease  ,,1
A65,Nonvenereal syphilis  ,,1
A66,Yaws  ,,1
A67,Pinta [carate]  ,,1
A68,Relapsing fevers  ,,1
A69,Other spirochaetal infections  ,,1
A70,Chlamydia psittaci infection  ,,1
A71,Trachoma  ,,1
A74,Other diseases caused by chlamydiae  ,,1
A75,Typhus fever  ,,1
A77,Spotted fever [tick-borne rickettsioses]  ,,1
A78,Q fever  ,,1
A79,Other rickettsioses  ,,1
A80,Acute poliomyelitis  ,,1
A81,Atypical virus infections of central nervous system  ,,1
A82,Rabies  ,,1
A83,Mosquito-borne viral encephalitis  ,,1
A84,Tick-borne viral encephalitis  ,,1
A85,"Other viral encephalitis, not elsewhere classified  ",,1
A86,Unspecified viral encephalitis  ,,1
A87,Viral meningitis  ,,1
